1	176565309652168	2025-12-14 04:11:37	함주라_	20	이어형 따잇			
2	176565301863964	2025-12-14 04:10:18	송이네모링	100	맹송씨 해비머신건 뭐시기 갠방시그에 좀 흠흠..	2025-12-14 04:10:18		
3	176565298908940	2025-12-14 04:09:49	fate.zero	100	고생했다	2025-12-14 04:09:49		
4	176565295823830	2025-12-14 04:09:18	(JINU)GOGO	3000	아 4등은 소감이 없군요?	2025-12-14 04:09:18		
5	176565295101669	2025-12-14 04:09:11	20000남편	100	만송아 고생많이햇다~	2025-12-14 04:09:11		
6	176565282247225	2025-12-14 04:07:02	World*Tour	100	세은!! 3등 축하해...그동안 노력의 결실이라서 좋아..	2025-12-14 04:07:03		
7	176565280416503	2025-12-14 04:06:44	[해적]꿀별☆	100	세은아 어깨피고~ 그렇다고 어깨오르란 소린아냐 알지?ㅋ	2025-12-14 04:06:45		
8	176565279616754	2025-12-14 04:06:36	[JINU]박진우	100	여왕 공주 축하해요. 소냥 마	2025-12-14 04:06:36		
9	176565277691730	2025-12-14 04:06:16	JINU보태써	100	주접싸고있네 ㅋㅋ			
10	176565265571358	2025-12-14 04:04:15	World*Tour	100	하온! 첫 공주 축하해!! 고생한 보람이 지금에야...	2025-12-14 04:04:16		
11	176565249961986	2025-12-14 04:01:39	치만앙뽀	100	마음씨도 예쁜 퀸시앙 ㅊㅊ			
12	176565249076704	2025-12-14 04:01:30	World*Tour	100	여왕 축하해요!! 천사업!!	2025-12-14 04:01:31		
13	176565243912411	2025-12-14 04:00:39	Bright_퓨쳐	100	축하드립니다 시앙님 좋은 여왕님 되시길 기원합니다 !!			
14	176565210604765	2025-12-14 03:55:06	함주라_	1225	시앙자기야 첫눈보러갈래? 여왕추카해	2025-12-14 03:55:06		
15	176565203187857	2025-12-14 03:53:51	JINU에담	3000	아진 해장님한테 한마디해		아진	
16	176565191352252	2025-12-14 03:51:54	(JINU)GOGO	2000	만송	2025-12-14 03:51:56		
17	176565190891232	2025-12-14 03:51:48	Ο원	100	박아진 누나 감사해요	2025-12-14 03:51:49	아진	
18	176565183260916	2025-12-14 03:50:32	(JINU)GOGO	1004	서툴어 만송씨 나왓	2025-12-14 03:50:32		
19	176565183065811	2025-12-14 03:50:30	JINU_Jason	1004	까망아ㅏㅏㅏㅏㅏ 이빨쓰지마ㅏㅏㅏㅏㅏㅏ			
20	176565178238919	2025-12-14 03:49:42	[해적]꿀별☆	1004	세은아...궁금하데..	2025-12-14 03:49:42		
21	176565174211991	2025-12-14 03:49:02	JINU벨팅	1475	즙소소플   아싸 남은풍들 세이브 개꿀~~			
22	176565174211889	2025-12-14 03:49:02	제리랑쓰리	1005	맹송씌...			
23	176565164527132	2025-12-14 03:47:26	무하메	1004	뚜부야 이럴려고 가져온거냐...???		뚜부	
24	176565163475371	2025-12-14 03:47:14	(JINU)GOGO	1004	만송 줌좀 땡겨주세요			
25	176565161427335	2025-12-14 03:46:54	JINU_Jason	1004	만송아ㅏㅏㅏㅏㅏㅏ 조아ㅏㅏㅏㅏㅏㅏ	2025-12-14 03:46:54		
26	176565158825478	2025-12-14 03:46:29	JINU쿤쿤	1004	여왕님도 봐야지			
27	176565157060936	2025-12-14 03:46:10	20000남편	1004	만송아 해바라기 머신건 하고싶다고?			
28	176565156242795	2025-12-14 03:46:02	지면니탓이야	1004	운재	2025-12-14 03:46:02		
29	176565153558499	2025-12-14 03:45:35	버럭	1004	맹송아 순한버젼보쟈	2025-12-14 03:45:35		
30	176565148252282	2025-12-14 03:44:42	제리랑쓰리	1004	맹송씌~	2025-12-14 03:44:42		
31	176565140216694	2025-12-14 03:43:22	송이네모링	100	아씨 못볼꺼봣네 깨비 마	2025-12-14 03:43:22	최깨비	1+1
32	176565136468280	2025-12-14 03:42:44	JINU보엑	100	개드럽네	2025-12-14 03:42:45	최깨비	
33	176565135646293	2025-12-14 03:42:36	함주라_	1004	아진한번더	2025-12-14 03:42:38	아진	
34	176565133941309	2025-12-14 03:42:19	JINU보엑	1004	진우형도 해줘..	2025-12-14 03:42:23	아진	
35	176565129723808	2025-12-14 03:41:39	함주라_	1004	이제 자도되겟다...자기전에 한번보고자야지...아진		아진	
36	176565125040368	2025-12-14 03:40:50	실로니카	1280	먼지	2025-12-14 03:40:50	먼지	
37	176565123382954	2025-12-14 03:40:34	JINU보엑	2288	까망	2025-12-14 03:40:38		
38	176565123263148	2025-12-14 03:40:32	JINU원싸	1010	진매룽 즐기자		진매	
39	176565116103945	2025-12-14 03:39:21	JINU벨팅	1580	즙소소 행복해 보인다?		소소	
40	176565114369847	2025-12-14 03:39:03	그게누군데	1000	소냥	2025-12-14 03:39:03		
41	176565110678811	2025-12-14 03:38:26	♧쿠프S2	1000	먼지~	2025-12-14 03:38:26	먼지	
42	176565109719799	2025-12-14 03:38:21	♧쿠프S2	1000	아진~		아진	
43	176565106349867	2025-12-14 03:37:43	김몰랑.	12250	하온	2025-12-14 03:37:47		
44	176565104874480	2025-12-14 03:37:28	JINU도리	100	소소	2025-12-14 03:37:28	소소	
